StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
arc-switch1025,Ethernet32,arc-switch1035,Ethernet15,40000,1695,Access
arc-switch1025,Ethernet36,arc-switch1035,Ethernet16,40000,1696,Access
arc-switch1025,Ethernet40,arc-switch1035,Ethernet17,10000,1697,Access
arc-switch1025,Ethernet42,arc-switch1035,Ethernet18,10000,1698,Access
arc-switch1025,Ethernet44,arc-switch1035,Ethernet19,10000,1699,Access
arc-switch1025,Ethernet46,arc-switch1035,Ethernet20,10000,1700,Access
arc-switch1025,Ethernet48,arc-switch1035,Ethernet21,40000,1701,Access
arc-switch1025,Ethernet50,arc-switch1035,Ethernet22,40000,1702,Access
arc-switch1025,Ethernet52,arc-switch1035,Ethernet23,40000,1703,Access
arc-switch1025,Ethernet54,arc-switch1035,Ethernet24,40000,1704,Access
arc-switch1025,Ethernet56,arc-switch1035,Ethernet25,40000,1705,Access
arc-switch1025,Ethernet58,arc-switch1035,Ethernet26,40000,1706,Access
arc-switch1025,Ethernet60,arc-switch1035,Ethernet27,40000,1707,Access
arc-switch1025,Ethernet62,arc-switch1035,Ethernet28,40000,1708,Access
arc-switch1025,Ethernet64,arc-switch1035,Ethernet29,40000,1709,Access
arc-switch1025,Ethernet68,arc-switch1035,Ethernet30,40000,1710,Access
arc-switch1025,Ethernet70,arc-switch1035,Ethernet31,40000,1711,Access
arc-switch1025,Ethernet72,arc-switch1035,Ethernet32,40000,1712,Access
arc-switch1025,Ethernet74,arc-switch1035,Ethernet9,40000,1689,Access
arc-switch1025,Ethernet76,arc-switch1035,Ethernet10,40000,1690,Access
arc-switch1025,Ethernet78,arc-switch1035,Ethernet11,40000,1691,Access
arc-switch1025,Ethernet80,arc-switch1035,Ethernet12,40000,1692,Access
arc-switch1025,Ethernet82,arc-switch1035,Ethernet13,40000,1693,Access
arc-switch1025,Ethernet84,arc-switch1035,Ethernet14,40000,1694,Access
arc-switch1025,Ethernet86,arc-switch1035,Ethernet15,40000,1695,Access
arc-switch1025,Ethernet88,arc-switch1035,Ethernet16,40000,1696,Access
arc-switch1025,Ethernet92,arc-switch1035,Ethernet17,10000,1697,Access
arc-switch1025,Ethernet96,arc-switch1035,Ethernet18,10000,1698,Access
arc-switch1025,Ethernet100,arc-switch1035,Ethernet19,10000,1699,Access
arc-switch1025,Ethernet104,arc-switch1035,Ethernet20,10000,1700,Access
arc-switch1025,Ethernet106,arc-switch1035,Ethernet21,40000,1701,Access
